ngo_description,category,urgency_level
Senior citizens unable to stand in relief line in Chamorshi,elderly support,Critical
Please escalate: books and school materials lost to flooding in Walwa,education,High
"Issue with sparking wire posing fire risk to shelters, needs attention soon pls fix",disaster relief,Medium
Kindly address elderly flood survivor found wandering alone near Garkheda,elderly support,Medium
Critical alert: exam postponement causing stress among students in Pune Camp,education,Critical
Flood victims surviving on contaminated water with no food,food,High
"Issue reported: damaged road, moderate urgency",shelter,Medium
Critical alert: elderly flood survivor found wandering alone near Jalgaon Jamod pls fix,elderly support,Critical
Reporting that cracked infrastructure near housing colony,shelter,Low
Bedridden elderly person in Karad with no caregiver,elderly support,High
Life threatening: ration shop in Pandharpur not opening despite government orders,food,Critical
Pls children defecating in open near water source in Parli,hygiene,Critical
"Diabetic patients not receiving appropriate diet support, needs attention soon",food,Medium
Kindly address pls children defecating in open near water source in Gadchiroli,hygiene,Medium
"Children defecating in open near water source in Karjat, needs attention soon",hygiene,Medium
Emergency: old woman in Murud collapsed due to lack of food and support is creating inconvenience,elderly support,Critical
Follow up needed on eld3rly c0upl3 1n Jat surv1v1ng w1th0ut any g0v3rnm3nt a1d,elderly support,Medium
SOS: nDRF team not reachable for flood-hit locality in Nagbhid is creating inconvenience,disaster relief,Critical
FYI: families in Nilanga have gone without food for 4 days and it has been like this for days,food,Low
Please fix elderly couple in Malegaon surviving without any government aid,elderly support,Medium
Urgent: overflowing waste near shelter camp which is causing a lot of trouble. fire attention is needed.,hygiene,Critical
"Stagnant water breeding mosquitoes in Khopoli lanes, needs attention soon",hygiene,Medium
"Minor issue: cracked infrastructure near housing colony, can be addressed later",shelter,Low
"Reporting that no chalk, blackboard or stationery at makeshift school in Shriwardhan camp, needs attention soon",education,Low
Dangerous situation: cracked walls in housing block posing danger to residents the whole neighborhood is complaining,shelter,Critical
Urgent: wheelchair-bound senior unable to access relief services in Kalamb and it has been like this for days,elderly support,High
SOS: children defecating in open near water source in Chembur is creating inconvenience,hygiene,Critical
"Dangerous situation: senior citizen with hearing impairment in Mankhurd getting no support, needs attention soon",elderly support,Critical
"Reporting unclean streets, low priority concern",hygiene,Low
Aged residents without family support in disaster-hit area,elderly support,Medium
Critical alert: displaced families not allotted any relief camp in Mangalwedha,shelter,Critical
Dangerous situation: contaminated well water being used in Murbad village is creating inconvenience,hygiene,Critical
Minor concern: pls oxygen cylinder shortage reported at health post in Mangrulpir,medical,Low
Please escalate: pls emergency helpline not working for residents of Osmanabad,disaster relief,High
Requires immediate response: shortage of medicines at Mangrulpir PHC causing distress,medical,Critical
"Displaced families not allotted any relief camp in Worli, needs attention soon",shelter,Medium
No ambulance available in Buldhana for emergency cases,medical,Critical
Urgent: sparking wire posing fire risk to shelter the whole neighborhood is complaining. emergency attention is needed.,disaster relief,Critical
"Just informing no mid-day meals distributed at school for 9 days, needs attention soon",food,Low
"Issue with unsafe path to shelter, needs repair, needs attention soon",shelter,Medium
Temporary shelters not waterproof causing distress in Shriwardhan,shelter,Critical
Hygiene awareness sessions cancelled in Ambernath without notice is creating inconvenience,hygiene,Critical
Flood waters receded but homes too damaged to return to in Roha,shelter,High
CRITICAL: pls elderly man in Kurkheda with no relatives or support after disaster,elderly support,Critical
"Newborn in distress at Garkheda camp, no paediatric support and it has been like this for days",medical,High
Kindly address no search and rescue teams deployed to Aurangabad City after landslide,disaster relief,Medium
"Landslide destroyed 200 homes in Kondhwa, urgent shelter needed",shelter,Medium
No handwashing stations at food distribution point the whole neighborhood is complaining,hygiene,Low
Minor concern: dropout rate rising among migrant children in Bhandup,education,Low
SOS: relief camp in Khamgaon has no privacy partitions for families,shelter,Critical
Pls overflowing dustbin is creating inconvenience,hygiene,Medium
Dangerous situation: injured flood survivors not getting wound care is creating inconvenience,medical,Critical
Issue with cracked walls in housing block posing danger to residents is creating inconvenience,shelter,Medium
Escalating: fire broke out in Katol and fire brigade took too long to arrive and it has been like this for days,disaster relief,High
No grief counselling for elderly who lost family members in Gondia the whole neighborhood is complaining,elderly support,Low
Please fix open defecation in Katraj posing serious health risk,hygiene,Medium
Urgent: no baby food available at Risod relief distribution point,food,High
Alert: emergency helpline not working for residents of Chiplun is creating inconvenience,disaster relief,High
"Life threatening: flood warning ignored in Mhaisal, families now stranded is creating inconvenience",disaster relief,Critical
HIV patients in Shahapur unable to access antiretroviral drugs and it has been like this for days,medical,Low
Rental support not disbursed to 50 families in Osmanabad,shelter,High
Serious issue: rescue boats not deployed in Kharghar despite rising water levels,disaster relief,High
Ration shop in Panvel not opening despite government orders,food,Critical
Requires immediate response: disaster response team yet to reach Paranda after 7 days pls fix,disaster relief,Critical
Starvation reported among homeless persons near Nashik Road pls fix,food,Critical
fire broke out in andheri east and fire brigade took too long to arrive,disaster relief,Medium
D1splac3d fam1l13s n0t all0tt3d any r3l13f camp 1n Bh1wand1,shelter,Critical
W0und3d p3rs0ns fr0m R0ha n0t sh1ft3d t0 h0sp1tal f0r 12 days,medical,Critical
Sparking wir3s not urg3nt but should b3 fix3d,disaster relief,Low
Temporary shelter in Goregaon dismantled before permanent housing arranged,shelter,Critical
Serious issue: patients with chronic illness running out of medication is creating inconvenience,medical,High
SOS: women and children unsafe in open camp at night in Badnera,shelter,Critical
Requires immediate response: girls pulled from school to help at home after disaster is creating inconvenience,education,Critical
"Minor issue: unhygienic conditions causing illness risk, can be addressed later",hygiene,Low
CRITICAL: rat infestation in Vita due to uncleared garbage,hygiene,Critical
Disaster map not updated for Khed causing misdirected aid pls fix,disaster relief,Medium
Please escalate: elderly man in Chembur with no relatives or support after disaster pls fix,elderly support,High
